,,Режиссер,Страна,Слоган,Маркетинг,Качество видео,Аудиодорожки,Директор фильма,Оператор,Премьера в мире,Художник,Сценарий,Премьера в Росcии,Релиз на Blu-ray,Монтаж,Сборы в США,Цифровой релиз,Зрители,Жанр,Релиз на DVD,Рейтинг MPAA,Продюсер,Композитор,Платформа,Время,Возраст,Год производства,Субтитры,Ре-релиз (РФ),Сборы в мире,Бюджет,Сборы в России,Название фильма
186,Null,Барри Левинсон,США,«A journey through understanding and fellowship»,Null,Null,Русский,Null,Джон Сил,"12 декабря 1988, ...","Ида Рэндом, Уильям А. Эллиотт, Берни Поллак, ...","Роналд Бэсс, Бэрри Морроу","17 сентября 1993, «Ист-Вест»","20 октября 2011, «Двадцатый Век Фокс СНГ»",Стью Линдер,$172 825 435,Null,43.3 млн,драма,"23 июля 2009, «Двадцатый Век Фокс СНГ»",R,"Питер Губер, Марк Джонсон, Дэвид МакГифферт, ...",Ханс Циммер,Null,133 мин. / 02:13,16+,1988,Нет,Null,+ $182 000 000 = $354 825 435,$25 000 000,Null,"['Человек дождя (1988)', 'Rain Man16+']"
187,Null,"Энтони Руссо, Джо Руссо",США,«Avenge the fallen»,Null,Null,"Русский, Русский 5.1",Null,Трент Опалок,"22 апреля 2019, ...","Чарльз Вуд, Джулиан Эшби, Джим Барр, ...","Кристофер Маркус, Стивен МакФили, Стэн Ли, ...","29 апреля 2019, «WDSSPR»",Null,"Джеффри Форд, Мэттью Шмидт",$858 373 000,"2 августа 2019, «Уолт Дисней Компани СНГ»",Null,"фантастика, боевик, драма, приключения",Null,PG-13,"Виктория Алонсо, Митчелл Белл, Эри Коста, ...",Алан Сильвестри,Null,181 мин. / 03:01,16+,2019,Русские,Null,+ $1 939 128 328 = $2 797 501 328,$356 000 000,$47 450 130,"['Мстители: Финал (2019)', 'Avengers: Endgame16+']"
188,Null,Владимир Мотыль,СССР,—,Null,Null,Русский,Юрий Хохлов,Эдуард Розовский,"30 марта 1970, ...","Валерий Кострин, Белла Маневич-Каплан, Диана Манэ, ...","Валентин Ежов, Рустам Ибрагимбеков, Марк Захаров",Null,"25 марта 2014, «Lizard Cinema Trade»",В. Нестерова,Null,Null,34.5 млн,"боевик, драма, мелодрама, комедия, приключения, военный","11 января 2011, «Парадиз»",Null,Null,Исаак Шварц,Null,84 мин. / 01:24,16+,1969,Нет,Null,Null,Null,Null,"['Белое солнце пустыни (1969)', '16+']"
189,Null,Джеймс Ганн,США,"«Мстители спасают лишь Землю бренную, а эти ребята спасают Вселенную»",Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1, Казахский, Казахский 5.1",Null,Бен Дэвис,"21 июля 2014, ...","Чарльз Вуд, Рави Бансал, Мэттью Бродерик, ...","Джеймс Ганн, Николь Перлман, Дэн Абнетт, ...","31 июля 2014, «WDSSPR»","2 декабря 2014, «Уолт Дисней Компани СНГ»","Фред Раскин, Хьюз Уинборн, Крэйг Вуд",$333 176 600,Null,834 тыс,"фантастика, боевик, приключения, комедия","2 декабря 2014, «Уолт Дисней Компани СНГ»",PG-13,"Кевин Файги, Виктория Алонсо, Джэми Кристофер, ...",Тайлер Бейтс,Null,121 мин. / 02:01,12+,2014,"Русские, Английские",Null,+ $439 600 000 = $772 776 600,$170 000 000,$37 881 775,"['Стражи Галактики (2014)', 'Guardians of the Galaxy12+']"
190,Null,"Рон Клементс, Джон Маскер, Дон Холл, ...",США,«The ocean is calling»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1, Казахский, Казахский 5.1",Null,Null,"14 ноября 2016, ...",Иэн Гудинг,"Джаред Буш, Рон Клементс, Джон Маскер, ...","1 декабря 2016, «WDSSPR»",Null,Джефф Дрэхейм,$248 757 044,"20 февраля 2017, «Уолт Дисней Компани СНГ»",Null,"мультфильм, мюзикл, фэнтези, комедия, приключения, семейный",Null,PG,"Николь П. Хирон, Джон Лассетер, Оснат Шурер",Марк Манчина,Null,107 мин. / 01:47,6+,2016,"Русские, Английские",Null,+ $394 574 067 = $643 331 111,$150 000 000,$15 366 656,"['Моана (2016)', 'Moana6+']"
191,Null,Том Хупер,"Великобритания, США",«It takes leadership to confront a nation's fear. It takes friendship to conquer your own»,Null,Null,"Русский, Английский",Null,Дэнни Коэн,"6 сентября 2010, ...","Ив Стюарт, Дэвид Хиндл, Леон МакКарти, ...",Дэвид Сайдлер,"24 февраля 2011, «Каскад фильм»","7 апреля 2011, «CP-Digital»",Тарик Анвар,$135 453 143,Null,17.5 млн,"драма, биография, история","7 апреля 2011, «CP-Digital»",R,"Эйн Каннинг, Эмиль Шерман, Гарет Унвин, ...",Александр Деспла,Null,118 мин. / 01:58,16+,2010,"Русские, Английские",Null,+ $275 414 100 = $410 867 243,$15 000 000,$1 681 032,"['Король говорит! (2010)', ""The King's Speech16+""]"
192,Null,Жан-Пьер Жёне,"Франция, Германия",«Она изменит вашу жизнь»,€3 000 000,Null,"Русский, Русский 5.1, Французский, Французский 5.1",Null,Брюно Дельбоннель,"25 апреля 2001, ...","Алин Бонетто, Мэтью Жюно, Фолькер Шефер, ...","Гийом Лоран, Жан-Пьер Жёне","20 сентября 2001, «Централ Партнершип»",Null,Эрве Шнайд,$33 225 499,"22 июля 2021, «Веста»",8.6 млн,"мелодрама, комедия","20 ноября 2001, «Videogram»",R,"Клоди Оссар, Хельмут Бройер, Бастиан Грис, ...",Янн Тьерсен,Null,122 мин. / 02:02,16+,2001,Русские,"1 июля 2021, «Пионер»",+ $140 696 455 = $173 921 954,€10 000 000,Null,"['Амели (2001)', ""Le Fabuleux destin d'Amélie Poulain16+""]"
193,Null,Джон Ли Хэнкок,США,«Основано на удивительных реальных событиях»,Null,Null,Null,Null,Алар Кивило,"17 ноября 2009, ...","Майкл Коренблит, Томас Минтон, Дэниэл Орланди, ...","Джон Ли Хэнкок, Майкл Льюис",Null,Null,Марк Ливолси,$255 959 475,Null,35.3 млн,"драма, спорт, биография","1 июня 2010, «Юниверсал Пикчерс Рус»",PG-13,"Бродерик Джонсон, Эндрю А. Косов, Джил Неттер, ...",Картер Бёруэлл,Null,129 мин. / 02:09,16+,2009,Null,Null,+ $53 248 834 = $309 208 309,$29 000 000,Null,"['Невидимая сторона (2009)', 'The Blind Side16+']"
194,Null,Джордж Тиллман мл.,США,"«Историю творят те, кто нарушает правила»",$23 700 000,Null,"Русский, Английский",Null,Энтони Б. Ричмонд,"14 сентября 2000, ...","Айвор Лесли Дилли, Лоуренс А. Хуббс, Сальвадор Перес мл., ...",Скотт Маршалл Смит,"8 февраля 2001, «Гемини»",Null,"Джон Картер, Дирк Уэстервелт",$48 818 921,Null,8.9 млн,"драма, биография","2 августа 2005, «Гемини-Фильм»",R,"Билл Бадалато, Роберт Тейтел, Билл Косби, ...",Марк Айшем,Null,129 мин. / 02:09,16+,2000,"Русские, Английские",Null,+ $33 524 574 = $82 343 495,$32 000 000,Null,"['Военный ныряльщик (2000)', 'Men of Honor16+']"
195,Null,Юрий Быков,Россия,«Успеет ли он спасти всех»,Null,Null,Русский,Null,Кирилл Клепалов,"9 августа 2014, ...","Ольга Погодина, Станислав Новак",Юрий Быков,"11 декабря 2014, «Премиум Фильм»",Null,Юрий Быков,Null,Null,4.3 тыс,драма,"22 января 2015, «CP Дистрибуция»",Null,"Алексей Учитель, Кира Саксаганская, Елена Быстрова, ...",Юрий Быков,Null,116 мин. / 01:56,16+,2014,Нет,"14 июля 2022, «Ten Letters»",Null,$1 300 000,$15 554,"['Дурак (2014)', '16+']"
196,Null,Чан Хун,Корея Южная,"«Если дал слово, не останавливайся»",Null,Null,"Русский, Русский 5.1, Корейский, Корейский 5.1",Null,Ко Рак-сон,"2 августа 2017, ...","Чо Хва-сон, Чон И-джин, Чо Сан-гён, ...",Ом Ю-на,Null,Null,"Ким Сан-бом, Ким Джэ-бом",$1 527 829,"15 мая 2020, «Тиллит Стайл»",12.2 млн,"история, драма, биография",Null,Null,"Ю Джон-хун, Пак Ын-гён, Со Ган-хо, ...",Чо Ён-ук,Null,137 мин. / 02:17,16+,2017,Русские,Null,+ $88 469 828 = $89 997 657,$13 000 000,Null,"['Таксист (2017)', 'Taeksi unjeonsa16+']"
197,Null,Брэд Бёрд,США,«It came from outer space!»,Null,Null,Null,Null,Стивен Уилзбах,"31 июля 1999, ...","Марк Уайтинг, Алан Боднер","Тим МакКэнлис, Брент Форрестер, Брэд Бёрд, ...",Null,Null,Даррен Т. Холмс,$23 159 305,Null,4.6 млн,"мультфильм, фантастика, боевик, комедия, приключения, семейный","26 апреля 2001, «Мост-Видео»",PG,"Эллисон Эббейт, Дес МакАнуфф, Пит Таунсенд, ...",Майкл Кэмен,Null,86 мин. / 01:26,6+,1999,Null,Null,Null,$70 000 000,Null,"['Стальной гигант (1999)', 'The Iron Giant6+']"
198,Null,Ирвин Кершнер,США,«The battle continues...»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Питер Сушицки,"17 мая 1980, ...","Норман Рейнольдс, Айвор Лесли Дилли, Гарри Ланж, ...","Ли Брэкетт, Лоуренс Кэздан, Джордж Лукас",Null,Null,"Т.М. Кристофер, Пол Хирш, Джордж Лукас, ...",$209 398 025,Null,98.2 млн,"фантастика, боевик, фэнтези, приключения","9 декабря 2010, «Двадцатый Век Фокс СНГ»",PG,"Джим Блум, Ховард Дж. Казанян, Гари Кертц, ...",Джон Уильямс,Null,124 мин. / 02:04,12+,1980,"Русские, Английские",Null,+ $190 685 234 = $400 083 259,$18 000 000,Null,"['Звёздные войны: Эпизод 5 — Империя наносит ответный удар (1980)', 'Star Wars: Episode V - The Empire Strikes Back12+']"
199,Null,Игорь Масленников,СССР,—,Null,Null,Русский,Игорь Визгин,Юрий Векслер,1 апреля 1987,"Исаак Каплан, Нелли Лев, Аркадий Тигай","Игорь Масленников, Артур Конан Дойл",Null,Null,Людмила Образумова,Null,Null,Null,"триллер, криминал, детектив","16 февраля 2010, «Lizard Cinema Trade»",Null,Null,Владимир Дашкевич,Null,150 мин. / 02:30,6+,1986,Нет,Null,Null,Null,Null,"['Шерлок Холмс и доктор Ватсон: Двадцатый век начинается (ТВ, 1986)', '6+']"
200,Null,Мартин Брест,США,«Meet Joe Black: Sooner or Later Everyone Does»,Null,Null,"Русский, Английский, Английский 5.1",Null,Эммануэль Любецки,"2 ноября 1998, ...","Данте Ферретти, Роберт Гуерра, Од Бронсон-Хауард, ...","Рон Осборн, Джефф Рино, Кевин Уэйд, ...","20 февраля 1999, «Ист-Вест»","8 февраля 2011, «Юниверсал Пикчерс Рус»","Джо Хатшинг, Майкл Троник",$44 619 100,Null,9.5 млн,"мелодрама, фэнтези, драма","21 ноября 2006, «Юниверсал Пикчерс Рус»",PG-13,"Мартин Брест, Селия Д. Костас, Рональд Л. Швари, ...",Томас Ньюман,Null,178 мин. / 02:58,16+,1998,Русские,Null,+ $98 321 000 = $142 940 100,$90 000 000,Null,"['Знакомьтесь, Джо Блэк (1998)', 'Meet Joe Black16+']"
201,Null,Геральд Бежанов,СССР,—,Null,Null,Русский,Галина Белинская,Валентин Пиганов,"10 ноября 1985, ...","Евгений Виницкий, Елена Храмова","Геральд Бежанов, Анатолий Эйрамджан",Null,Null,Ирина Колотикова,Null,Null,44.9 млн,"мелодрама, комедия","11 января 2011, «Парадиз»",Null,Null,Владимир Рубашевский,Null,81 мин. / 01:21,16+,1985,Нет,Null,Null,Null,Null,"['Самая обаятельная и привлекательная (1985)', '16+']"
202,Null,Эльдар Рязанов,СССР,"«Было темно, тихо и пустынно... Неизвестный старался остаться незамеченным, и это ему удалось... А затем последовали события, которые и составляют эту загадочную и почти невероятную историю»",Null,Null,Русский,Ефим Голынский,"Анатолий Мукасей, Владимир Нахабцев","25 мая 1966, ...","Борис Немечек, Лев Семенов, Мариам Быховская","Эмиль Брагинский, Эльдар Рязанов","8 июля 2021, «Мосфильм», «Искусство кино»","28 мая 2013, «Lizard Cinema Trade»",Екатерина Овсянникова,Null,Null,29 млн,"криминал, комедия, мелодрама","11 января 2011, «Парадиз»",Null,Null,Андрей Петров,Null,94 мин. / 01:34,12+,1966,Нет,Null,$9 928,Null,$10 100,"['Берегись автомобиля (1966)', '12+']"
203,Null,Барри Зонненфельд,США,«Они защищают Землю от отбросов Вселенной»,Null,Null,Null,Null,Дональд Питермен,"25 июня 1997, ...","Бо Уэлш, Том Даффилд, Мэри Е. Вогт, ...","Лоуэлл Каннингем, Эд Соломон","16 сентября 1997, «Ист-Вест»","25 сентября 2008, «Columbia/Sony»",Джим Миллер,$250 690 539,Null,53.3 млн,"фантастика, боевик, комедия, приключения","20 июля 2007, «Columbia/Sony»",PG-13,"Лори МакДональд, Уолтер Ф. Паркс, Стивен Р. Молен, ...",Дэнни Элфман,Null,98 мин. / 01:38,12+,1997,Null,Null,+ $338 700 000 = $589 390 539,$90 000 000,$540 000,"['Люди в чёрном (1997)', 'Men in Black12+']"
204,Null,Ричард Маркуанд,США,«The Saga Continues»,Null,Null,"Русский (CPIG), Русский 5.1 (CPIG), Английский, Английский 5.1",Null,"Алан Хьюм, Алек Миллз","23 мая 1983, ...","Норман Рейнольдс, Фред Хоул, Джеймс Л. Шоппе, ...","Лоуренс Кэздан, Джордж Лукас",Null,Null,"Шон Бартон, Т.М. Кристофер, Дуэйн Данэм, ...",$252 583 617,Null,94.1 млн,"фантастика, боевик, фэнтези, приключения","9 декабря 2010, «Двадцатый Век Фокс СНГ»",PG,"Джим Блум, Ховард Дж. Казанян, Джордж Лукас, ...",Джон Уильямс,Null,131 мин. / 02:11,12+,1983,"Русские, Английские",Null,+ $122 009 457 = $374 593 074,$32 500 000,Null,"['Звёздные войны: Эпизод 6 — Возвращение Джедая (1983)', 'Star Wars: Episode VI - Return of the Jedi12+']"
205,Null,Марк Херман,"Великобритания, США",«Взрослое детство войны»,Null,Null,"Русский, Английский, Английский 5.1",Null,Бенуа Деломм,"28 августа 2008, ...","Мартин Чайлдс, Род МакЛин, Разван Раду, ...","Марк Херман, Джон Бойн",Null,Null,Майкл Эллис,$9 046 156,Null,1.8 млн,"драма, военный, история","30 апреля 2009, «Уолт Дисней Компани СНГ»",PG-13,"Дэвид Хейман, Рози Элисон, Марк Херман, ...",Джеймс Хорнер,Null,94 мин. / 01:34,12+,2008,Русские,Null,+ $31 370 407 = $40 416 563,$12 500 000,Null,"['Мальчик в полосатой пижаме (2008)', 'The Boy in the Striped Pyjamas12+']"
206,Null,Райан Джонсон,США,«У каждого свой мотив»,Null,Null,Null,Null,Стив Йедлин,"7 сентября 2019, ...","Дэвид Крэнк, Джереми Вудворд, Дженни Иген, ...",Райан Джонсон,"28 ноября 2019, «Централ Партнершип»",Null,Боб Дюксе,$165 363 234,"20 февраля 2020, «Централ Партнершип»",1.4 млн,"детектив, комедия, драма, криминал",Null,PG-13,"Рэм Бергман, Леопольд Хьюз, Райан Джонсон, ...",Нэйтан Джонсон,Null,130 мин. / 02:10,16+,2019,Null,Null,+ $147 534 686 = $312 897 920,$40 000 000,$6 288 706,"['Достать ножи (2019)', 'Knives Out16+']"
207,Null,Ларс фон Триер,"Дания, Нидерланды, Швеция, Германия, Великобритания, Франция, Финляндия, Норвегия, Италия",«Кто выживет в жутком городе?»,Null,Null,Русский,Null,Энтони Дод Мэнтл,"19 мая 2003, ...","Петер Грант, Манон Расмуссен, Симона Грау",Ларс фон Триер,"26 июня 2003, «Централ Партнершип»",Null,Молли Марлен Стенсгаард,$1 535 286,Null,516.9 тыс,"триллер, драма, детектив","2 февраля 2012, «Cinema Prestige»",R,"Джиллиан Берри, Беттина Брокемпер, Лене Берглум, ...",—,Null,178 мин. / 02:58,18+,2003,Нет,"22 ноября 2018, «Cinema Prestige»",+ $15 145 550 = $16 680 836,DKK 10 000 000,$560 124,"['Догвилль (2003)', 'Dogville18+']"
208,Null,Уэс Андерсон,"США, Германия",—,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Роберт Д. Йоумен,"6 февраля 2014, ...","Адам Штокхаузен, Штефан О. Гесслер, Джералд Салливан, ...","Стефан Цвейг, Уэс Андерсон, Хьюго Гиннесс","13 марта 2014, «Двадцатый Век Фокс СНГ»","10 июля 2014, «Двадцатый Век Фокс СНГ»",Барни Пиллинг,$59 301 324,Null,1.4 млн,"комедия, приключения, детектив, криминал","10 июля 2014, «Двадцатый Век Фокс СНГ»",R,"Уэс Андерсон, Джереми Доусон, Стивен Рейлс, ...",Александр Деспла,Null,100 мин. / 01:40,16+,2014,"Русские, Английские",Null,+ $113 635 617 = $172 936 941,€23 000 000,$5 400 321,"['Отель «Гранд Будапешт» (2014)', 'The Grand Budapest Hotel16+']"
209,Null,Вадим Шмелев,Россия,«Они сражались за Москву»,Null,Null,"Русский, Русский 5.1",Null,Андрей Гуркин,"13 ноября 2020, ...","Константин Пахотин, Сергей Стручев","Вадим Шмелев, Игорь Угольников, Вячеслав Фетисов, ...","4 ноября 2020, «Централ Партнершип»",Null,"Мария Сергеенкова, Екатерина Говсеева",Null,"11 декабря 2020, «Централ Партнершип»",6.3 тыс,"военный, драма, история, боевик",Null,Null,"Игорь Угольников, Вадим Задорожный, Евгений Айзикович, ...",Юрий Потеенко,Null,136 мин. / 02:16,12+,2020,Нет,"5 мая 2022, «Наше Кино»",$32 918,₽ 420 000 000,$1 228 353,"['Подольские курсанты (2020)', '12+']"
210,Null,"Гари Труздейл, Кирк Уайз",США,"««...in a single day and night of misfortune, the island of Atlantis disappeared into the depths of the sea.» -- Plato, 360 B.C»",Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1, Казахский",Null,Null,"2 июня 2001, ...","Мэтт Кодд, Рикардо Ф. Дельгадо, Джим Мартин, ...","Тэб Мёрфи, Дэвид Рейнольдс, Кирк Уайз, ...","20 декабря 2001, «Каскад фильм»","9 июня 2015, «Уолт Дисней Компани СНГ»",Эллен Кенеши,$84 056 472,Null,15.6 млн,"мультфильм, фантастика, фэнтези, боевик, приключения, семейный","26 апреля 2011, «Уолт Дисней Компани СНГ»",PG,"Кендра Хааланд, Дон Хан",Джеймс Ньютон Ховард,Null,95 мин. / 01:35,0+,2001,"Русские, Английские",Null,+ $101 997 253 = $186 053 725,$120 000 000,Null,"['Атлантида: Затерянный мир (2001)', 'Atlantis: The Lost Empire0+']"
211,Null,Джеймс Ганн,США,«Не ждали?»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1, Казахский, Казахский 5.1",Null,Генри Брэхам,"10 апреля 2017, ...","Скотт Чамблисс, Елена Альбанезе, Рэмси Эйвери, ...","Джеймс Ганн, Дэн Абнетт, Энди Леннинг, ...","4 мая 2017, «WDSSPR»",Null,"Фред Раскин, Крэйг Вуд",$389 813 101,"8 августа 2017, «Уолт Дисней Компани СНГ»",Null,"фантастика, боевик, приключения, комедия",Null,PG-13,"Виктория Алонсо, Луис Д’Эспозито, Кевин Файги, ...",Тайлер Бейтс,Null,136 мин. / 02:16,16+,2017,"Русские, Английские",Null,+ $473 942 950 = $863 756 051,$200 000 000,$28 359 322,"['Стражи Галактики. Часть 2 (2017)', 'Guardians of the Galaxy Vol. 216+']"
212,Null,Дэвид Йейтс,"Великобритания, США",«Выжить суждено только одному»,Null,Null,"Русский, Русский 5.1, Английский",Null,Славомир Идзяк,"28 июня 2007, ...","Стюарт Крэйг, Эндрю Эклэнд-Сноу, Марк Бартоломью, ...","Майкл Голденберг, Дж.К. Роулинг","19 июля 2007, «Каро-Премьер»","23 декабря 2008, «Юниверсал Пикчерс Рус»",Марк Дэй,$292 004 738,Null,42.4 млн,"фэнтези, приключения, семейный","23 июня 2009, «Юниверсал Пикчерс Рус»",PG-13,"Дэвид Баррон, Дэвид Хейман, Тим Льюис, ...",Николас Хупер,Null,138 мин. / 02:18,12+,2007,Русские,Null,+ $646 208 000 = $938 212 738,$150 000 000,$16 326 219,"['Гарри Поттер и Орден Феникса (2007)', 'Harry Potter and the Order of the Phoenix12+']"
213,Null,"Крис Уэдж, Карлос Салдана",США,«Отмороженные герои»,$35 000 000,Null,"Русский (CPIG), Английский, Английский 5.1",Null,Null,"12 марта 2002, ...",Брайан МакЭнти,"Майкл Берг, Питер Экерман, Майкл Дж. Уилсон, ...","21 августа 2002, «Гемини Киномир»","17 декабря 2009, «Двадцатый Век Фокс СНГ»",Джон Карнокэн,$176 387 405,Null,30.4 млн,"мультфильм, комедия, приключения, семейный","27 января 2004, «Гемини-Фильм»",PG,"Лори Форте, Джон С. Донкин, Кристофер Меледандри",Дэвид Ньюман,Null,81 мин. / 01:21,0+,2002,"Русские, Английские",Null,+ $206 869 731 = $383 257 136,$59 000 000,$1 575 579,"['Ледниковый период (2002)', 'Ice Age0+']"
214,Null,Дэвид Йейтс,"Великобритания, США",«Опасность повсюду»,Null,Null,"Русский, Русский 5.1, Английский",Null,Эдуарду Серра,"11 ноября 2010, ...","Стюарт Крэйг, Эндрю Эклэнд-Сноу, Марк Бартоломью, ...","Стивен Кловз, Дж.К. Роулинг","19 ноября 2010, «Каро-Премьер»","12 мая 2011, «CP-Digital»",Марк Дэй,$295 983 305,Null,37.5 млн,"фэнтези, приключения, семейный","14 апреля 2011, «CP-Digital»",PG-13,"Дэвид Баррон, Дэвид Хейман, Дж.К. Роулинг, ...",Александр Деспла,Null,146 мин. / 02:26,16+,2010,Русские,Null,+ $664 300 000 = $960 283 305,£ 150 000 000,$25 663 781,"['Гарри Поттер и Дары Смерти: Часть I (2010)', 'Harry Potter and the Deathly Hallows: Part 116+']"
215,Null,Хаяо Миядзаки,Япония,«Miyazaki's epic masterpiece»,Null,Null,"Русский (Reanimedia), Русский, Японский",Null,"Ясухиро Симидзу, Кодзи Сирагами, Юкимото Сюдо, ...","11 марта 1984, ...",Мицуки Накамура,"Хаяо Миядзаки, Кадзунори Ито","26 июля 2007, «RUSCICO»",Null,"Наоки Канэко, Томоко Кида, Сёдзи Сакаи",$495 770,Null,910 тыс,"аниме, мультфильм, фантастика, фэнтези, драма","11 февраля 2010, «Новый Диск»",PG,"Исао Такахата, Тору Хара, Митио Кондо, ...",Дзё Хисаиси,Null,117 мин. / 01:57,12+,1984,"Русские, Английские","28 февраля 2019, «Пионер»",+ $1 720 214 = $2 215 984,$1 000 000,$72 900,"['Навсикая из долины ветров (1984)', 'Kaze no tani no Naushika12+']"
216,Null,Марк Захаров,СССР,—,Null,Null,Русский,Александра Демидова,"Владимир Нахабцев, Юрий Райский",30 декабря 1984,"Виктор Юшин, Наталья Монева","Григорий Горин, Алексей Толстой",Null,"3 февраля 2011, «Парадиз»",Валентина Кулагина,Null,Null,Null,"мелодрама, комедия","11 января 2011, «Парадиз»",Null,Null,Геннадий Гладков,Null,90 мин. / 01:30,0+,1984,Нет,Null,Null,Null,Null,"['Формула любви (ТВ, 1984)', '0+']"
217,Null,Джеймс Кэмерон,"Великобритания, США",«В некоторых местах Вселенной вы не одиноки...»,Null,Null,"Русский (CPIG), Русский 5.1 (CPIG), Английский",Null,Эдриан Биддл,"14 июля 1986, ...","Питер Ламонт, Терри Эклэнд-Сноу, Кен Корт, ...","Джеймс Кэмерон, Дэвид Гайлер, Уолтер Хилл, ...","21 марта 1994, «Екатеринбург Арт»",Null,Рэй Лавджой,$85 160 248,Null,23 млн,"ужасы, фантастика, боевик, триллер, приключения","30 января 2007, «Двадцатый Век Фокс СНГ»",R,"Гордон Кэрролл, Дэвид Гайлер, Уолтер Хилл, ...",Джеймс Хорнер,Null,137 мин. / 02:17,16+,1986,"Русские, Английские",Null,+ $45 900 000 = $131 060 248,$18 500 000,Null,"['Чужие (1986)', 'Aliens16+']"
218,Null,Тейлор Хэкфорд,"США, Германия",«У зла свой путь к победе»,Null,Null,Null,Null,Анджей Бартковяк,"13 октября 1997, ...","Бруно Рубео, Дэннис Брэдфорд, Сара Эдвардс, ...","Джонатан Лемкин, Тони Гилрой, Эндрю Нейдерман",Null,Null,Марк Уорнер,$60 944 660,Null,13.3 млн,"триллер, фэнтези, драма, детектив","12 сентября 2000, «Мост-Видео»",R,"Энн Копельсон, Арнольд Копельсон, Арнон Милчен, ...",Джеймс Ньютон Ховард,Null,144 мин. / 02:24,16+,1997,Null,Null,+ $92 000 000 = $152 944 660,$57 000 000,Null,"['Адвокат дьявола (1997)', ""The Devil's Advocate16+""]"
219,Null,Пол Макгиган,"США, Канада, Великобритания, Германия",«Не тот номер. Не в том месте. Не в то время»,Null,Null,Русский,Null,Питер Сова,"24 февраля 2006, ...","Франсуа Сеген, Пьер Перро, Колумб Рэби, ...",Джейсон Смилович,"13 апреля 2006, «Парадиз»",Null,Эндрю Хьюм,$22 495 466,Null,3.4 млн,"триллер, драма, криминал","25 декабря 2008, «Парадиз»",R,"Кристофер Робертс, Киа Джем, Тайлер Митчелл, ...",Джошуа Ральф,Null,110 мин. / 01:50,16+,2005,Нет,Null,+ $33 813 415 = $56 308 881,$27 000 000,$752 500,"['Счастливое число Слевина (2005)', 'Lucky Number Slevin16+']"
220,Null,Юрий Озеров,"СССР, Польша, Югославия, Германия (ГДР), Италия",«Two great armies duel to the death with a million guns and ten thousand tanks... THE GREAT BATTLE»,Null,Null,Русский,"Юрий Джорогов, Лидия Канарейкина","Игорь Слабневич, Амина Ахметова, Виталий Абрамов, ...","7 мая 1970, ...","Александр Мягков, Диляра Озерова","Юрий Бондарев, Оскар Курганов, Юрий Озеров","23 февраля 2022, «Мосфильм», «Каро»",Null,Екатерина Карпова,Null,Null,56.1 млн,"драма, мелодрама, военный","2 сентября 2008, «Lizard Cinema Trade»",Null,Null,Юрий Левитин,Null,93 мин. / 01:33,12+,1968,Нет,Null,$5 098,Null,$9 424,"['Освобождение: Огненная дуга (1968)', '12+']"
221,Null,Хаяо Миядзаки,Япония,"«I was feeling blue, but I'm better now»",Null,Null,"Русский, Японский",Null,Сигэо Сугимура,"29 июля 1989, ...",Хироси Оно,"Хаяо Миядзаки, Эико Кадоно","2 октября 2008, «RUSCICO»",Null,Такэси Сэяма,$1 004 057,Null,2.6 млн,"аниме, мультфильм, фэнтези, комедия, приключения, семейный","30 ноября 2009, «Ruscico»",G,"Хаяо Миядзаки, Тору Хара, Тосио Судзуки, ...",Дзё Хисаиси,Null,103 мин. / 01:43,6+,1989,"Русские, Английские","31 декабря 2020, «Пионер»",+ $3 488 960 = $4 493 017,¥ 800 000 000,$72 411,"['Ведьмина служба доставки (1989)', 'Majo no takkyûbin6+']"
222,Null,Марк Уэбб,США,«How do you create an ordinary life for an extraordinary girl»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Стюарт Драйбёрг,"7 апреля 2017, ...","Лаура Фокс, Чарльз Варга, Эбби О’Салливан, ...",Том Флинн,"1 июня 2017, «Двадцатый Век Фокс СНГ»",Null,Билл Панкоу,$24 801 212,"14 июля 2017, «Двадцатый Век Фокс СНГ»",Null,драма,Null,PG-13,"Энди Коэн, Карен Ландер, Молли Аллен, ...",Роб Симонсен,Null,101 мин. / 01:41,12+,2017,Русские,Null,+ $18 245 378 = $43 046 590,$7 000 000,$342 218,"['Одаренная (2017)', 'Gifted12+']"
